,keywords,count
0,private offering proceeds common share placement issued subject purchase hold period gross four price closing connection days months certain,29
1,expected currently addition sug room ronald roll repeat render reminder remind remember school relative refresh reconciliation receiving reasonably raymond,0
2,additional announced us canadian order april previously ownership extension period investors news president key home executive commerce billion advice,0
3,forward risks statements looking factors future ability changes uncertainties actual economic costs assumptions estimates materially regulatory exploration cause mineral,139
4,dividend share record common shareholders series paid tax preferred yield income cash payment payable board close june directors monthly,33
5,date made set sug remind room ronald roll repeat render reminder relative remember refresh reconciliation receiving reasonably raymond rationale,1
6,statements looking forward future actual risks uncertainties events factors expectations materially cause differ press certain assumptions historical contains regarding,421
7,assets companies international corporate sug ronald roll repeat render reminder remind remember relative schedules refresh reconciliation receiving reasonably raymond,4
8,lease settlement plc food stockholders uranium retirement joint convertible ten supplemental rental almost interim maintains payments overall texas geographic,0
9,class firm action contact period law lead rights would investors purchased statements materially share telephone shareholders advertising public member,18
10,news potential many control relative ronald roll repeat render reminder remind remember refresh schedules reconciliation receiving reasonably raymond rationale,0
11,real estate retail property office residential mortgage home properties managed trust primarily square housing asset owns feet reit loans,29
12,adjusted measures operating non income net ebitda measure comparable consolidated performance taxes amortization earnings believes loss accordance gaap costs,61
13,part become highly site benefit four regulatory system take multiple owned located life publicly ceo areas established extended using,0
14,clinical phase patients drug treatment study disease stage development pharmaceutical trial product cancer human data research lead platform medical,31
15,health care medical healthcare facilities provides people home patients products outcomes investor centers help center day pharmaceutical quality better,27
16,free stocks research get zacks want days latest download recommendations see next list click past strong analysis rank earnings,100
17,point ontario land three thanks country used quality development leader top commented excellent reduce start proposed proven leaders particular,0
18,net share ended months income loss three million per operating period diluted earnings basic consolidated compared expenses revenue total,61
19,agreement transaction shareholders terms holders subject arrangement common outstanding amount share certain proposed court held receive principal connection shareholder,45
20,ended access listed sug relative ronald roll repeat render reminder remind remember refresh schedules reconciliation receiving reasonably raymond rationale,0
21,call conference webcast replay dial website live quarter investor relations discuss audio minutes access host international prior free following,128
22,mexico funding buyers land safe homes involved san several store produced original advice creek nevada lease could republic plant,0
23,annual addition loan continue currently operations expected facility used projects credit full future approximately includes corporate made caps pe,0
24,offer notes registration sale solicitation offering state sold statement act laws prospectus applicable registered would press amended filed prior,42
25,potash allocation launched diversification centers heavy engaged store starting locations ensure deliver payment rig funding commodities issues holding committed,0
26,capital credit facility working financing facilities funding liquidity principal notes invest pleased outstanding existing corp alternative secured equity investments,16
27,drilling production wells reserves program net costs oil day estimated equivalent total completion fourth operating december average volumes budget,30
28,content author document reviewed procedures reviewer service research email reports case aws checked sponsor analyst caps independent offering pro,111
29,common purchase outstanding share purchased trading issued bid issuer purchases price tsx normal average shareholders number approximately daily facilities,16
30,solutions leading provider world largest remember ronald roll repeat render reminder remind sug schedules relative refresh reconciliation receiving reasonably,5
31,would make media part take several state small among europe making close national foreign low traded food received able,0
32,online said education experience offers across unique home state brand every brands part proud programs members program day class,30
33,food standard staff exciting transition distributor trademarks hotel conversion series training plus created coal rig aircraft entertainment address represent,0
34,brands designed vehicles vehicle integrated steel paper materials store industries co auto months superior reach aircraft every aviation prior,0
35,semiconductor consecutive loans regional hardware uranium variety metric collaboration waste size ending positioned broad houston expansion texas among engaged,0
36,earnings stocks surprise estimate zacks positive rank see four cents strong list beat average quarter estimates reported share price,68
37,fund funds asset income net distribution distributions value tax capital end return amount investors gains shareholders share managed diversified,51
38,drilling gold drill program zone grade mineralization deposit resource exploration hole project within located reported high property holes see,41
39,quarter sales second line remember room ronald roll repeat render reminder remind sug schedules refresh reconciliation receiving reasonably raymond,7
40,include limited expects relative roll repeat render reminder remind remember sug room refresh reconciliation receiving reasonably raymond rationale raising,1
41,projects two includes approximately roll repeat render reminder remind remember relative refresh reconciliation room receiving reasonably raymond rationale raising,3
42,million quarter compared revenue increase due net revenues segment operating sales expenses increased prior period share income lower primarily,152
43,significant related impact result change review changes fiscal policy required timing symbol reported strength liabilities fourth open completion yield,8
44,investors could recent period strategy relative roll repeat render reminder remind remember reconciliation refresh room receiving reasonably raymond rationale,0
